text,label
"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent",classification
"What is the current capital of Japan?

Tokyo (/ˈtoʊkioʊ/; Japanese: 東京, Tōkyō, [toːkʲoː] (listen)), officially the Tokyo Metropolis (東京都, Tōkyō-to), is the capital and most populous city of Japan. Formerly known as Edo, its metropolitan area (13,452 square kilometers or 5,194 square miles) is the most populous in the world, with an estimated 37.468 million residents as of 2018; the city proper has a population of 13.99 million people. Located at the head of Tokyo Bay, the prefecture forms part of the Kantō region on the central coast of Honshu, Japan's largest island. Tokyo serves as Japan's economic center and is the seat of both the Japanese government and the Emperor of Japan.

Tokyo is the current capital of Japan.",information_extraction
"Explain how new technologies, like LLMs and ChatGPT, may revolutionize Application Programming Interfaces (APIs) in the future. Provide an example of how these APIs might work.",creative_writing
What is the difference between natural and real numbers?,open_qa
What happens when the sun goes down?,open_qa
Who are some of the most successful golfers in history?,open_qa
What is the fastest car?,open_qa
"Tell me whether each of these are animals or not: Alligator, Grass, Tree, Boat, Dolphin, Shark, Fish, Fence, Dog, Car",classification
"What are the causes for Sensory processing disorder?

The exact cause of SPD is not known.However, it is known that the midbrain and brainstem regions of the central nervous system are early centers in the processing pathway for multisensory integration; these brain regions are involved in processes including coordination, attention, arousal, and autonomic function. After sensory information passes through these centers, it is then routed to brain regions responsible for emotions, memory, and higher level cognitive functions. Damage in any part of the brain involved in multisensory processing can cause difficulties in adequately processing stimuli in a functional way.

The exact cause of Sensory processing disorder is not known. However, it is known that the midbrain and brainstem regions of the central nervous system are early centers in the processing pathway for multisensory integration; these brain regions are involved in processes including coordination, attention, arousal, and autonomic function. After sensory information passes through these centers, it is then routed to brain regions responsible for emotions, memory, and higher level cognitive functions. Damage in any part of the brain involved in multisensory processing can cause difficulties in adequately processing stimuli in a functional way.",closed_qa
What type of weather is San Francisco famous for?,open_qa
What is an EV?,general_qa
What is the largest city in Washington state?,open_qa
Give me a bunch of ways I can keep my house cool in the summer,brainstorming
What is the fastest way to travel between the United States and Croatia?,open_qa
"What do The Matrix, Point Break, Constantine, and John Wick have in common?",classification
"Classify each of the following as either titles by J.K. Rowling or Suzanne Collins: Harry Potter and the Sorcerer's Stone, The Ickabog, Fantastic Beasts and Where to Find Them, The Cuckoo's Calling, Harry Potter and the Order of the Phoenix, Catching Fire, Mockingjay, Gregor the Overlander, Year of the Jungle, The Ballad of Songbirds and Snakes",classification
What is the largest state by land size in the United States of America?,open_qa
What happens when you bring flammable objects closer to a fire source or extreme heat?,open_qa
"Classify each of the following as an American coffee shop chain or an American fast-food hamburger restaurant: Starbucks, Dunkin Donuts, McDonald's, In-N-Out, Dutch Bros, Coffee Bean & Tea Leaf, Burger King, Carl's Jr",classification
"Tell me which months have 30 days and which have 31 days, based on this list: January, February, March, April, May, June, July, August, September, October, November, and December.",classification
"When was the first bicycle race?

The first bicycle race is popularly held to have been a 1,200 m (3,900 ft) race on the 31 May 1868 at the Parc de Saint-Cloud, Paris, France. It was won by expatriate Englishman James Moore who rode a wooden bicycle with solid rubber tires. The machine is now on display at the museum in Ely, Cambridgeshire, England.

It's commonly believed that the first bicycle race was held May 31, 1868 at the Parc de Saint-Cloud, Paris, France.  The race distance was 1,200 m and was won by James Moore, an expatriate Englishman.  Moore rode a wooden bicycle with solid rubber tires.  Moore's bicycle is now on display in a museum in England.",summarization
"Please describe  what is oil and give me a list of it’s applications.

An oil is any nonpolar chemical substance that is composed primarily of hydrocarbons and is hydrophobic (does not mix with water) & lipophilic (mixes with other oils). Oils are usually flammable and surface active. Most oils are unsaturated lipids that are liquid at room temperature.

The general definition of oil includes classes of chemical compounds that may be otherwise unrelated in structure, properties, and uses. Oils may be animal, vegetable, or petrochemical in origin, and may be volatile or non-volatile. They are used for food (e.g., olive oil), fuel (e.g., heating oil), medical purposes (e.g., mineral oil), lubrication (e.g. motor oil), and the manufacture of many types of paints, plastics, and other materials. Specially prepared oils are used in some religious ceremonies and rituals as purifying agents.

An oil is a chemical substance that is composed primarily of hydrocarbons and may be animal, vegetable or petrochemical in origin.
Oil is used in a wide range of applications and is essential to everyday human life. These are:
Cooking - edible vegetable and animal oils are used for various purposes in cooking and food preparation
Cosmetics - most facial cleansers, lotions and hair care products contain molecules that come from mineral and vegetable oils
Fuel - crude oil is refined and converted to diesel, gasoline or jet fuel to power cars, trucks and planes
Heating - petrochemical oil is used for heating
Painting - oil is used as a supporting medium for paints
Lubrication - oils are used in various engineering purposes as they do not easily adhere to other substance which makes them useful as lubricants
Religion - oil has been used throughout history as a religious medium. It is often considered a spiritually purifying agent and is used to anointing purposes
Health - oils holds lots of fats and medical properties, for example fish oil holds the omega-3 fatty acid which helps with inflammation and reduces fat in the bloodstream",summarization
"If each client was served by the same number of professionals, how many professionals (round to one decimal place) would each client be served by?

RGP, formerly known as Resources Global Professionals, is the operating arm of Resources Connection, Inc. (NASDAQ:RGP). The company provides consulting services in the areas of finance & accounting; information management; governance, risk & compliance (GRC); human capital; legal & regulatory; corporate advisory & restructuring; strategic communications; and supply chain management. As of fiscal year ending May 28, 2016, the company employed 3,283 professionals in 68 offices in 20 countries around the world. The company reported serving over 1,700 clients. Company headquarters are located in Irvine, CA.

3283 professionals and 1700 clients, so 3283/1700 = 1.9 professionals serving each client.",closed_qa
What is the nickname for West Ham United?,general_qa
"Classify the following water bodies into oceans, seas, rivers and lakes- aral, pacific, baikal, superior, amazon, colorado, indian, arabian, north, baltic, okhotosk, tahoe, victoria, lena, danube, arctic, mekong",classification
"Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise",classification
Is it a good idea to have a protein shake after a gym workout? How do I make one?,general_qa
"Give me a bulleted list of all artists that performers on the Trolls World Tour Soundtrack.

Trolls World Tour: Original Motion Picture Soundtrack is the soundtrack album to the 2020 DreamWorks Animation film Trolls World Tour, released by RCA Records on March 13, 2020. The soundtrack is produced primarily by singer-songwriter Justin Timberlake. The singles ""The Other Side"" by SZA and Timberlake and ""Don't Slack"" by Anderson .Paak and Timberlake were released prior to the album.

Background
As well as reprising his voice role as Branch in the sequel, Justin Timberlake also served as executive producer for its soundtrack, as he did on the original film's soundtrack, released in 2016. He revealed a handwritten list of the tracks on the soundtrack on his social media on February 13, also tagging the major artists featured on it.

Following the plot of the film, in which the Trolls from the first film discover that Trolls around the world are divided by six different types of music (pop, funk, classical, techno, country, and rock), the soundtrack features songs in those genres.

Track listing
No.	Title	Writer(s)	Producer(s)	Length
1.	""The Other Side"" (SZA and Justin Timberlake)	
Solána RoweSarah AaronsJustin TimberlakeLudwig GöranssonMax Martin
TimberlakeGöransson
3:08
2.	""Trolls Wanna Have Good Times"" (Anna Kendrick, Justin Timberlake, James Corden, Ester Dean, Icona Pop, Kenan Thompson and The Pop Trolls)	
ThompsonBernard EdwardsChristopher HartzDmitry BrillHerbie HancockLady Miss KierGöranssonNile RodgersQ-TipRobert HazardTowa Tei
Göransson	3:25
3.	""Don't Slack"" (Anderson .Paak and Justin Timberlake)	
TimberlakeBrandon AndersonGöransson
TimberlakeAnderson .PaakGöransson
2:54
4.	""It's All Love"" (Anderson .Paak, Justin Timberlake, Mary J. Blige and George Clinton)	
AndersonJames FauntleroyJoseph ShirleyGöransson
ShirleyGöransson
3:35
5.	""Just Sing (Trolls World Tour)"" (Justin Timberlake, Anna Kendrick, Kelly Clarkson, Mary J. Blige, Anderson .Paak and Kenan Thompson)	
TimberlakeAaronsGöranssonMartin
TimberlakeGöransson
3:34
6.	""One More Time"" (Anthony Ramos)	
Thomas BangalterGuy-Manuel de Homem-ChristoAnthony Moore
Göransson	2:42
7.	""Atomic Dog World Tour Remix"" (George Clinton and Parliament-Funkadelic, Anderson .Paak and Mary J. Blige)	
ClintonDavid SpradleyGarry ShiderAnderson
ClintonShirleyGöransson
4:17
8.	""Rainbows, Unicorns, Everything Nice"" (Walt Dohrn and Joseph Shirley)	Aidan Jensen	Göransson	0:12
9.	""Rock N Roll Rules"" (Haim and Ludwig Göransson)	
Alana HaimDanielle HaimEste HaimGöransson
Göransson	3:10
10.	""Leaving Lonesome Flats"" (Dierks Bentley)	
Chris StapletonTimberlake
TimberlakeGöransson
3:10
11.	""Born to Die"" (Kelly Clarkson)	
StapletonTimberlake
TimberlakeGöransson
3:26
12.	""Trolls 2 Many Hits Mashup"" (Anna Kendrick, Justin Timberlake, James Corden, Icona Pop and The Pop Trolls)	
Anslem DouglasArmando PerezDonnie WahlbergDan HartmanEmma BuntonYoo Gun-hyungPark Jai-sangDavid ListenbeeMark WahlbergMatthew RoweMelanie BrownMelanie ChrisholmPeter SchroederBiff StannardSandy WilhelmStefan GordySkyler GordyFaheem Najm
Göransson	1:01
13.	""Barracuda"" (Rachel Bloom)	
Ann WilsonMichael DerosierNancy WilsonRoger Fisher
Göransson	4:06
14.	""Yodel Beat"" (Ludwig Göransson)	Göransson	Göransson	2:50
15.	""Crazy Train"" (Rachel Bloom)	
Ozzy OsbourneRandy RhoadsBob Daisley
Göransson	3:15
16.	""I Fall to Pieces"" (Sam Rockwell)	
Hank CochranHarlan Howard
Göransson	2:14
17.	""Perfect for Me"" (Justin Timberlake)	
TimberlakeKenyon DixonGöransson
TimberlakeGöransson
3:47
18.	""Rock You Like a Hurricane"" (Bloom)	
Herman RarebellKlaus MeineRudolf Schenker
Göransson	3:05
19.	""It's All Love (History of Funk)"" (George Clinton, Mary J. Blige, Anderson .Paak)	
AndersonFauntleroyShirleyGöransson
ShirleyGöransson
2:10
20.	""Just Sing (Trolls World Tour)"" (Justin Timberlake, Anna Kendrick, James Corden, Kelly Clarkson, George Clinton, Mary J. Blige, Anderson .Paak, Rachel Bloom, Kenan Thompson, Anthony Ramos, Red Velvet, Icona Pop and Sam Rockwell)	
S. RoweTimberlakeAaronsGöranssonMartin
TimberlakeGöransson
4:00
Total length:	60:00

• (SZA and Justin Timberlake)
• (Anna Kendrick, Justin Timberlake, James Corden, Ester Dean, Icona Pop, Kenan Thompson and The Pop Trolls)
• (Anderson .Paak and Justin Timberlake)
• (Anderson .Paak, Justin Timberlake, Mary J. Blige and George Clinton)
• (Trolls World Tour)"" (Justin Timberlake, Anna Kendrick, Kelly Clarkson, Mary J. Blige, Anderson .Paak and Kenan Thompson)
• (Anthony Ramos)
• (George Clinton and Parliament-Funkadelic, Anderson .Paak and Mary J. Blige)
• (Walt Dohrn and Joseph Shirley)
• (Haim and Ludwig Göransson)
• (Dierks Bentley)
• (Kelly Clarkson)
• (Anna Kendrick, Justin Timberlake, James Corden, Icona Pop and The Pop Trolls)
• (Rachel Bloom)
• (Ludwig Göransson)
• (Rachel Bloom)
• (Sam Rockwell)
• (Justin Timberlake)
• (Bloom)
• (George Clinton, Mary J. Blige, Anderson .Paak)
• (Justin Timberlake, Anna Kendrick, James Corden, Kelly Clarkson, George Clinton, Mary J. Blige, Anderson .Paak, Rachel Bloom, Kenan Thompson, Anthony Ramos, Red Velvet, Icona Pop and Sam Rockwell)",summarization
What is world of warcraft,general_qa
What is the future for human?,general_qa
"what is Stoicism

Stoicism is a school of Hellenistic philosophy founded by Zeno of Citium in Athens in the early 3rd century BCE. It is a philosophy of personal virtue ethics informed by its system of logic and its views on the natural world, asserting that the practice of virtue is both necessary and sufficient to achieve eudaimonia (happiness, lit. 'good spiritedness'): one flourishes by living an ethical life. The Stoics identified the path to eudaimonia with a life spent practicing virtue and living in accordance with nature.

Alongside Aristotelian ethics, the Stoic tradition forms one of the major founding approaches to virtue ethics. The Stoics are especially known for teaching that ""virtue is the only good"" for human beings, and that external things, such as health, wealth, and pleasure, are not good or bad in themselves (adiaphora) but have value as ""material for virtue to act upon"". Many Stoics—such as Seneca and Epictetus—emphasized that because ""virtue is sufficient for happiness"", a sage would be emotionally resilient to misfortune. The Stoics also held that certain destructive emotions resulted from errors of judgment, and they believed people should aim to maintain a will (called prohairesis) that is ""in accordance with nature"". Because of this, the Stoics thought the best indication of an individual's philosophy was not what a person said but how a person behaved. To live a good life, one had to understand the rules of the natural order since they believed everything was rooted in nature.

Stoicism flourished throughout the Roman and Greek world until the 3rd century CE, and among its adherents was Emperor Marcus Aurelius. It experienced a decline after Christianity became the state religion in the 4th century CE. Since then, it has seen revivals, notably in the Renaissance (Neostoicism) and in the contemporary era (modern Stoicism).

Stoicism is a school of Hellenistic philosophy founded by Zeno of Citium in Athens in the early 3rd century BCE. It is a philosophy of personal virtue ethics informed by its system of logic and its views on the natural world, asserting that the practice of virtue is both necessary and sufficient to achieve eudaimonia (happiness, lit. 'good spiritedness'): one flourishes by living an ethical life. The Stoics identified the path to eudaimonia with a life spent practicing virtue and living in accordance with nature.

Alongside Aristotelian ethics, the Stoic tradition forms one of the major founding approaches to virtue ethics. The Stoics are especially known for teaching that ""virtue is the only good"" for human beings, and that external things, such as health, wealth, and pleasure, are not good or bad in themselves (adiaphora) but have value as ""material for virtue to act upon"". Many Stoics—such as Seneca and Epictetus—emphasized that because ""virtue is sufficient for happiness"", a sage would be emotionally resilient to misfortune. The Stoics also held that certain destructive emotions resulted from errors of judgment, and they believed people should aim to maintain a will (called prohairesis) that is ""in accordance with nature"". Because of this, the Stoics thought the best indication of an individual's philosophy was not what a person said but how a person behaved. To live a good life, one had to understand the rules of the natural order since they believed everything was rooted in nature.

Stoicism flourished throughout the Roman and Greek world until the 3rd century CE, and among its adherents was Emperor Marcus Aurelius. It experienced a decline after Christianity became the state religion in the 4th century CE. Since then, it has seen revivals, notably in the Renaissance (Neostoicism) and in the contemporary era (modern Stoicism).",summarization
"Can you tell me recipe to make a quick dessert , tell me one which is your favorite.",general_qa
"Does ""outbreeding"" or ""inbreeding"" benefit the offspring more?

Exogamy often results in two individuals that are not closely genetically related marrying each other; that is, outbreeding as opposed to inbreeding. In moderation, this benefits the offspring as it reduces the risk of the offspring inheriting two copies of a defective gene. Increasing the genetic diversity of the offspring improves the chances of offspring reproducing, up until the fourth-cousin level of relatedness; however, reproduction between individuals on the fourth-cousin level of relatedness decreases evolutionarily fitness.

""Outbreeding"" is more beneficial to the offspring as it reduces the risk of inheriting defective genes, increasing the offspring's ability to reproduce.",closed_qa
How do you gain muscle?,general_qa
"What are some areas that firefighters can safely stay in while fighting a wildfire?

Outcomes from Project Vesta have been integrated into firefighter training in Australia and are beginning to appear in the United States.

Firefighters try to stay out of the dead man zone at all times, working from safe points such as burnt ground or a large area of non-burnable ground, such as a cricket or Australian rules football oval, or a large car park. This is achieved by attacking the fire from the flanks, or the rear, so that burnt ground is always nearby, and the fire is always in front of the firefighters. This avoids two disadvantages of attacking fires at the head of the fire where spot fires may start behind them or changes in wind behavior might accelerate the spread of the fire.

The result of several inquiries into firefighter death in Australian bushfires found that firefighters should stay out of the dead man zone and that they should always keep 250 liters of water in their truck for personal safety. This is now a standard operating procedure in the NSW Rural Fire Service, Country Fire Service and Country Fire Authority in Australia.

Firefighters can use burnt areas, car parks and sports areas to stay safe during a wildfire",information_extraction
What are some of the best comedy movies of the 1980's?,open_qa
What are Nanotube?,open_qa
"Classify the eight planets of Earth's solar system as rocky or gaseous, according to their primary composition.",classification
"Identify which instrument is string or woodwind: Wheelharp, Clarinet",classification
What is a bond in finance?,open_qa
What is engineering culture?,general_qa
Which country makes the best coffee in the world?,general_qa
What country has hosted the Olympic Games the most often?,open_qa
What are some types of potatoes commonly grown in Ireland?,brainstorming
What is best Playstation or Xbox,general_qa
"How many managers have Arsenal had?

There have been twenty permanent and eight caretaker managers of Arsenal since 1897; Stewart Houston has managed the club in two separate spells as caretaker. The most successful person to manage Arsenal is Arsène Wenger, who won three Premier League titles, seven FA Cups and seven Community Shields between 1996 and 2018. Wenger is the club's longest-serving manager; he surpassed George Allison's record of 13 years in October 2009. Two Arsenal managers have died in the job – Herbert Chapman and Tom Whittaker.

Arsenal have had twenty permanent and eight caretake managers.",closed_qa
what is REST API,general_qa
Who played Billy the Kid in The Left Handed Gun,open_qa
"Who are ''The Lumières"" ?",open_qa
"Identify which animal species is alive or extinct: Purussaurus, Albacore Tuna",classification
Why do people like gardening?,general_qa
Why do Filipinos like eating rice so much?,creative_writing
What do you say to someone that is suicidal?,creative_writing
Tomb of Sand  was translated from Hindi to English by,open_qa
"Please list the main dog predators according to the passage

Although dogs are the most abundant and widely distributed terrestrial carnivores, feral and free-ranging dogs' potential to compete with other large carnivores is limited by their strong association with humans. For example, a review of the studies in dogs' competitive effects on sympatric carnivores did not mention any research on competition between dogs and wolves. Although wolves are known to kill dogs, they tend to live in pairs or in small packs in areas where they are highly persecuted, giving them a disadvantage facing large dog groups.

Wolves kill dogs wherever they are found together. In some instances, wolves have displayed an uncharacteristic fearlessness of humans and buildings when attacking dogs to the extent that they have to be beaten off or killed. Although the numbers of dogs killed each year are relatively low, it induces a fear of wolves entering villages and farmyards to take dogs and losses of dogs to wolves have led to demands for more liberal wolf hunting regulations.

Coyotes and big cats have also been known to attack dogs. In particular, leopards are known to have a preference for dogs and have been recorded to kill and consume them, no matter what their size. Siberian tigers in the Amur River region have killed dogs in the middle of villages. This indicates that the dogs were targeted. Amur tigers will not tolerate wolves as competitors within their territories, and the tigers could be considering dogs in the same way. Striped hyenas are known to kill dogs in their range.

wolves, Coyotes, leopards, Siberian tigers, Striped hyenas",summarization
"What is a brown eared pheasant?

The brown eared pheasant (Crossoptilon mantchuricum) is a large, 96– to 100-cm-long, dark brown pheasant endemic to the mountain forests of northeastern China (Shanxi and nearby provinces). The species was first described by Robert Swinhoe in 1863. It has stiff white ear coverts behind the eyes, which look like a moustache. The crown is black with red bare facial skin and its tail of 22 elongated, white feathers is curved, loose and dark-tipped. Both sexes are similar in plumage.

The brown eared pheasant is a large dark brown pheasant native to the mountain forests of northeastern China. It has distinctive white ear covert behind the eyes that look like a moustache. It's crown is black with red bare facial skin, and it has a tail with long, white, curve, loose, dark-tipped feathers.",summarization
Jokic or Embiid for the MVP?,open_qa
What makes the Expanse series better than other sci-fi?,open_qa
When did Hungary gain its independence?,open_qa
Who was the first women to do the spacewalk?,open_qa
Which is the best place to Kayak in Austin?,open_qa
Give me some Mother's Day gift ideas.,general_qa
"Let’s solve the following math problem. Each rabbit has 4 feets and each duck has 2 feets. If there are in total 25 heads and 88 feets, how many rabbits and how many ducks are there?",general_qa
"Which river can you hike in Utah?

Hiking The Narrows is arguably the quintessential Zion experience. The Narrows can be hiked either as a top-down through-hike from Chamberlain Ranch to the Temple of Sinawava, or as an up-and-back bottom-up hike from the Temple of Sinawava. Hiking is done largely in the river as, for a third of the route, the river runs canyon wall to canyon wall. Water levels change from season to season; most hikers will wade at least waist-deep and many will swim a few short sections. 

The Narrows is the narrowest section of Zion Canyon in Zion National Park, Utah, United States.

The Narrows at Zion National Park",closed_qa
What is the English Premier League?,open_qa
"which weighs more, cold or hot water?",open_qa
What is Hornachuelos?,general_qa
"Identify which animal species is alive or extinct: Pliosaur, Marine Iguana",classification
"From the passage find the list of banks who supported Yes Bank in 2020. Display the results in comma separated format.

The history of Yes Bank can be traced back to 1999, when three Indian bankers decided to launch a non-banking financial enterprise together. They were Ashok Kapur, who had previously worked as the national head for the ABN Amro Bank, Harkirat Singh, who had previously worked as the country head for the Deutsche Bank, and Rana Kapoor, who had previously worked as the head of corporate finance for the ANZ Grindlays Bank. The Rabobank in the Netherlands held the remaining 75% of the shares in the non-banking financial business. The three Indian promoters each owned 25% of the company. In 2003, it was rebranded as the Yes Bank. It was also the same year that Harkirat Singh resigned due to concerns over the influence exercised by Rabobank in the hiring of CEO and executive chairman positions.

Yes Bank has been unable to raise capital over the past few years, which has led to a steady deterioration in its financial position. This has resulted in potential loan losses, which in turn led to downgrades, which prompted investors to invoke bond covenants, and a withdrawal of deposits by customers. Over the course of the previous four quarters, the bank racked up losses and very little income. Rana Kapoor was fired as a result, and he was arrested in connection with a INR 466 crore money laundering case.

The bank's management, under the new leadership of Kumar, immediately repositioned itself and dealt with all internal and market related challenges to restore customer and depositor confidence. Under the coordinated efforts of the new board and management, Mehta assured shareholders of a speedy recovery, even as the Reserve Bank of India (RBI), State Bank of India (SBI), HDFC Bank, ICICI Bank, Axis Bank and other banks lent it support through the historic Yes Bank Reconstruction Scheme 2020.

In July 2020, Yes Bank Ltd closed their follow-on public offer (FPO) with 95% subscription, driven by institutional investors.

As of 28 July 2020, Yes Bank is an associate of State Bank of India which has a 30% stake in the company.

On 21 February 2023, Yes Bank issued 2,13,650 equity shares to its employees under the company ESOP plan.

Reserve Bank of India (RBI), State Bank of India (SBI), HDFC Bank, ICICI Bank, Axis Bank",information_extraction
Why did Kim Kardashian and Ye divorce?,open_qa
"If my car's fuel tank fits 18 gallon, how many times do I need to refuel on a 10-hour trip if the average speed is 60mph and the car's fuel efficiency is 30mpg?",creative_writing
What is guitar amp modeling?,open_qa
Did Sir Winston Churchill win the Nobel Peace Prize?,open_qa
Where does Nick work on the show the New Girl,open_qa
"For the Zodiac sign Aries, Share some information from the given text.

Aries (♈︎) (Greek: Κριός, romanized: Kriós, Latin for ""ram"") is the first astrological sign in the zodiac, spanning the first 30 degrees of celestial longitude (0°≤ λ <30°), and originates from the Aries constellation. Under the tropical zodiac, the Sun transits this sign from approximately March 21 to April 19 each year. This time duration is exactly the first month of the Solar Hijri calendar (Arabic Hamal/Persian Farvardin/Pashto Wray).

1.	Aries is the first astrological sign in the zodiac, spanned in the first 30 degrees of celestial longitude (0°≤ λ <30°).
2.	Aries is originated from the Aries constellation.
3.	The Sun transits this sign from approximately March 21 to April 19 each year.
4.	This time period is exactly the first month of the Solar Hijri calendar (Arabic Hamal/Persian Farvardin/Pashto Wray).",summarization
"Given this paragraph about Billie Eilish, tell me who produced her debut single, also tell me what is her chart-topping single?

Billie Eilish Pirate Baird O'Connell (/ˈaɪlɪʃ/ EYE-lish; born December 18, 2001) is an American singer and songwriter. She first gained public attention in 2015 with her debut single ""Ocean Eyes"", written and produced by her brother Finneas O'Connell, with whom she collaborates on music and live shows. In 2017, she released her debut extended play (EP), titled Don't Smile at Me. Commercially successful, it reached the top 15 of record charts in numerous countries, including the US, UK, Canada, and Australia.

Eilish's first studio album, When We All Fall Asleep, Where Do We Go? (2019), debuted atop the US Billboard 200 and UK Albums Chart. It was one of the best-selling albums of the year, buoyed by the success of its fifth single ""Bad Guy"", Eilish's first number-one on the US Billboard Hot 100. This made her the first artist born in the 21st century to release a chart-topping single. The following year, Eilish performed the theme song ""No Time to Die"" for the James Bond film of the same name, which topped the UK Singles Chart and won the Academy Award for Best Original Song in 2022. Her subsequent singles ""Everything I Wanted"", ""My Future"", ""Therefore I Am"", and ""Your Power"" peaked in the top 10 in the US and UK. Her second studio album, Happier Than Ever (2021), topped charts in 25 countries.

Her brother Finneas O'Connell produced her debut single ""Ocean Eyes"", and her chart topping single is ""Bad Guy""",closed_qa
